,Name,Brand,Price,Image,ProductID,Gender
0,Beige Double-Breasted Trench Coat,MM6 Maison Margiela,1895,https://img.ssensemedia.com/images/231188F067003_1/mm6-maison-margiela-beige-double-breasted-trench-coat.jpg,11635651,women
1,Black Double-Breasted Blazer,MM6 Maison Margiela,1350,https://img.ssensemedia.com/images/231188F057003_1/mm6-maison-margiela-black-double-breasted-blazer.jpg,11635711,women
2,Black Shawl Blazer,MM6 Maison Margiela,1505,https://img.ssensemedia.com/images/231188F057005_1/mm6-maison-margiela-black-shawl-blazer.jpg,11636331,women
3,Gray Double-Breasted Blazer,MM6 Maison Margiela,1350,https://img.ssensemedia.com/images/231188F057006_1/mm6-maison-margiela-gray-double-breasted-blazer.jpg,11636341,women
4,Black Cropped Faux-Leather Jacket,MM6 Maison Margiela,1045,https://img.ssensemedia.com/images/231188F063001_1/mm6-maison-margiela-black-cropped-faux-leather-jacket.jpg,11635691,women
5,Green Cropped Faux-Leather Jacket,MM6 Maison Margiela,1045,https://img.ssensemedia.com/images/231188F063000_1/mm6-maison-margiela-green-cropped-faux-leather-jacket.jpg,11635681,women
6,Black Quilted Down Jacket,MM6 Maison Margiela,1805,https://img.ssensemedia.com/images/231188F061003_1/mm6-maison-margiela-black-quilted-down-jacket.jpg,11635671,women
7,Black Button Trench Coat,MM6 Maison Margiela,1895,https://img.ssensemedia.com/images/231188F067002_1/mm6-maison-margiela-black-button-trench-coat.jpg,11635641,women
8,Green Raw Edge Vest,MM6 Maison Margiela,1350,https://img.ssensemedia.com/images/231188F068000_1/mm6-maison-margiela-green-raw-edge-vest.jpg,11635731,women
9,Black Padded Shoulders Vest,MM6 Maison Margiela,1350,https://img.ssensemedia.com/images/231188F068001_1/mm6-maison-margiela-black-padded-shoulders-vest.jpg,11635741,women
10,White Cutout Denim Jacket,MM6 Maison Margiela,895,https://img.ssensemedia.com/images/231188F060007_1/mm6-maison-margiela-white-cutout-denim-jacket.jpg,11636871,women
11,Off-White Padded Faux-Fur Jacket,Dolce & Gabbana,3830,https://img.ssensemedia.com/images/222003F062000_1/dolce-and-gabbana-off-white-padded-faux-fur-jacket.jpg,10334971,women
12,Black Layered-Wing Faux-Leather Trench Coat,DRAE,1085,https://img.ssensemedia.com/images/231520F064001_1/drae-black-layered-wing-faux-leather-trench-coat.jpg,12484641,women
13,Black Oversized Faux-Leather Jacket,DRAE,720,https://img.ssensemedia.com/images/231520F064002_1/drae-black-oversized-faux-leather-jacket.jpg,12484651,women
14,Brown Cropped Blazer,DRAE,500,https://img.ssensemedia.com/images/231520F057002_1/drae-brown-cropped-blazer.jpg,12484691,women
15,Tan Oversized Coat,GANNI,645,https://img.ssensemedia.com/images/231144F059005_1/ganni-tan-oversized-coat.jpg,11701131,women
16,Tan Frill Jacket,GANNI,525,https://img.ssensemedia.com/images/231144F063005_1/ganni-tan-frill-jacket.jpg,11701141,women
17,Black Stripe Belt Blazer,GANNI,460,https://img.ssensemedia.com/images/231144F057005_1/ganni-black-stripe-belt-blazer.jpg,11697631,women
18,Black Drop Shoulder Jacket,GANNI,575,https://img.ssensemedia.com/images/231144F063000_1/ganni-black-drop-shoulder-jacket.jpg,11696031,women
19,Black Oversized Jacket,GANNI,495,https://img.ssensemedia.com/images/231144F063006_1/ganni-black-oversized-jacket.jpg,11701151,women
20,Black Recycled Trench Coat,Birrot,930,https://img.ssensemedia.com/images/222680F059001_1/birrot-black-recycled-trench-coat.jpg,10977821,women
21,Brown Plaid Blazer,Serapis,1000,https://img.ssensemedia.com/images/222238F057000_1/serapis-brown-plaid-blazer.jpg,10958451,women
22,SSENSE Exclusive Blue Insertedition Denim Jacket,Bless,950,https://img.ssensemedia.com/images/222852F060003_1/bless-ssense-exclusive-blue-insertedition-denim-jacket.jpg,11447891,women
23,Black 'The Monogram' Down Jacket,Marc Jacobs,1650,https://img.ssensemedia.com/images/231190F061001_1/marc-jacobs-black-the-monogram-down-jacket.jpg,11551701,women
24,Gray Double-Breasted Jacket,Totême,1100,https://img.ssensemedia.com/images/231771F063002_1/totme-gray-double-breasted-jacket.jpg,11558851,women
25,Tan Double-Breasted Jacket,Totême,1100,https://img.ssensemedia.com/images/231771F063001_1/totme-tan-double-breasted-jacket.jpg,11558841,women
