,Name,Brand,Price,Image,ProductID,Gender
0,Brown Wonton 20 Top Handle Bag,BOYY,1635,https://img.ssensemedia.com/images/231237F046019_1/boyy-brown-wonton-20-top-handle-bag.jpg,12164031,women
1,Beige November Tote,Études,120,https://img.ssensemedia.com/images/231647F049005_1/etudes-beige-november-tote.jpg,12602661,women
2,Beige Small London Tote,Burberry,1460,https://img.ssensemedia.com/images/231376F049002_1/burberry-beige-small-london-tote.jpg,11749121,women
3,Black Small Crystal EKD Lola Bag,Burberry,2695,https://img.ssensemedia.com/images/231376F048001_1/burberry-black-small-crystal-ekd-lola-bag.jpg,11748741,women
4,Black Small Lola Bag,Burberry,1755,https://img.ssensemedia.com/images/231376F048005_1/burberry-black-small-lola-bag.jpg,11748781,women
5,Biege Small Lola Bag,Burberry,2890,https://img.ssensemedia.com/images/231376F048004_1/burberry-biege-small-lola-bag.jpg,11748771,women
6,Brown Small Lola Bag,Burberry,1755,https://img.ssensemedia.com/images/231376F048038_1/burberry-brown-small-lola-bag.jpg,11784231,women
7,Beige & Black Check Wallet Bag,Burberry,800,https://img.ssensemedia.com/images/231376F048032_1/burberry-beige-and-black-check-wallet-bag.jpg,11749051,women
8,Beige & Black Louise Bag,Burberry,990,https://img.ssensemedia.com/images/231376F048034_1/burberry-beige-and-black-louise-bag.jpg,11749071,women
9,Brown Small Lola Camera Bag,Burberry,1990,https://img.ssensemedia.com/images/231376F048039_1/burberry-brown-small-lola-camera-bag.jpg,11784241,women
10,Beige Mini Lola Camera Bag,Burberry,1095,https://img.ssensemedia.com/images/231376F048014_1/burberry-beige-mini-lola-camera-bag.jpg,11748871,women
11,Blue MA Crossbody Pouch,AMIRI,895,https://img.ssensemedia.com/images/231886F048001_1/amiri-blue-ma-crossbody-pouch.jpg,11665271,women
12,Orange & Gray Museo Pouch,Marni,705,https://img.ssensemedia.com/images/231379F045000_1/marni-orange-and-gray-museo-pouch.jpg,11753731,women
13,SSENSE Exclusive White Sonya Jewelry Case,Sophie Bille Brahe,140,https://img.ssensemedia.com/images/231686F045002_1/sophie-bille-brahe-ssense-exclusive-white-sonya-jewelry-case.jpg,12177491,women
14,SSENSE Exclusive White Sonya Jewelry Case,Sophie Bille Brahe,140,https://img.ssensemedia.com/images/231686F045003_1/sophie-bille-brahe-ssense-exclusive-white-sonya-jewelry-case.jpg,12177501,women
15,Beige Large Attache Shoulder Bag,Gucci,4650,https://img.ssensemedia.com/images/222451F048073_1/gucci-beige-large-attache-shoulder-bag.jpg,11237801,women
16,Beige GG Gancio Attache Bag,Gucci,3860,https://img.ssensemedia.com/images/222451F048072_1/gucci-beige-gg-gancio-attache-bag.jpg,11237791,women
17,Black Interlocking G Blondie Shoulder Bag,Gucci,4660,https://img.ssensemedia.com/images/222451F048091_1/gucci-black-interlocking-g-blondie-shoulder-bag.jpg,11237991,women
18,Red Interlocking G Blondie Shoulder Bag,Gucci,4660,https://img.ssensemedia.com/images/222451F048092_1/gucci-red-interlocking-g-blondie-shoulder-bag.jpg,11238001,women
19,Green Interlocking G Blondie Shoulder Bag,Gucci,4660,https://img.ssensemedia.com/images/222451F048093_1/gucci-green-interlocking-g-blondie-shoulder-bag.jpg,11238011,women
20,Brown Medium Interlocking G Blondie Bag,Gucci,5155,https://img.ssensemedia.com/images/222451F048089_1/gucci-brown-medium-interlocking-g-blondie-bag.jpg,11237971,women
21,Beige Medium Interlocking G Blondie Shoulder Bag,Gucci,4270,https://img.ssensemedia.com/images/222451F048090_1/gucci-beige-medium-interlocking-g-blondie-shoulder-bag.jpg,11237981,women
22,Off-White Interlocking G Blondie Shoulder Bag,Gucci,4660,https://img.ssensemedia.com/images/231451F048006_1/gucci-off-white-interlocking-g-blondie-shoulder-bag.jpg,12856231,women
23,Beige Interlocking G Blondie Shoulder Bag,Gucci,4020,https://img.ssensemedia.com/images/222451F048094_1/gucci-beige-interlocking-g-blondie-shoulder-bag.jpg,11238041,women
24,Beige Medium Interlocking G Blondie Bag,Gucci,4265,https://img.ssensemedia.com/images/231451F048007_1/gucci-beige-medium-interlocking-g-blondie-bag.jpg,12856241,women
25,SSENSE Exclusive Off-White Mini Jackie 1961 Shoulder Bag,Gucci,5435,https://img.ssensemedia.com/images/222451F048088_1/gucci-ssense-exclusive-off-white-mini-jackie-1961-shoulder-bag.jpg,11237961,women
26,SSENSE Exclusive Black Mini Jackie 1961 Shoulder Bag,Gucci,5435,https://img.ssensemedia.com/images/222451F048084_1/gucci-ssense-exclusive-black-mini-jackie-1961-shoulder-bag.jpg,11237921,women
27,SSENSE Exclusive Pink Mini Jackie 1961 Shoulder Bag,Gucci,5435,https://img.ssensemedia.com/images/222451F048087_1/gucci-ssense-exclusive-pink-mini-jackie-1961-shoulder-bag.jpg,11237951,women
28,SSENSE Exclusive Green Mini Jackie 1961 Bag,Gucci,5435,https://img.ssensemedia.com/images/222451F048085_1/gucci-ssense-exclusive-green-mini-jackie-1961-bag.jpg,11237931,women
29,Off-White Mini Horsebit 1955 Bag,Gucci,4265,https://img.ssensemedia.com/images/231451F046010_1/gucci-off-white-mini-horsebit-1955-bag.jpg,12856591,women
