,Name,Brand,Price,Image,ProductID,Gender
0,Beige Buttoned Coat,MM6 Maison Margiela,1390,https://img.ssensemedia.com/images/231188M176000_1/mm6-maison-margiela-beige-buttoned-coat.jpg,11625961,men
1,Beige Peached Trench Coat,Maison Margiela,2425,https://img.ssensemedia.com/images/231168M184012_1/maison-margiela-beige-peached-trench-coat.jpg,12062741,men
2,Black Caban Jacket,Maison Margiela,2475,https://img.ssensemedia.com/images/231168M180023_1/maison-margiela-black-caban-jacket.jpg,12023381,men
3,Black Buttoned Coat,MM6 Maison Margiela,1390,https://img.ssensemedia.com/images/231188M176001_1/mm6-maison-margiela-black-buttoned-coat.jpg,11625971,men
4,Black Zipped Leather Jacket,MM6 Maison Margiela,1885,https://img.ssensemedia.com/images/231188M180001_1/mm6-maison-margiela-black-zipped-leather-jacket.jpg,11626001,men
5,Black Faded Denim Jacket,MM6 Maison Margiela,745,https://img.ssensemedia.com/images/231188M177001_1/mm6-maison-margiela-black-faded-denim-jacket.jpg,11626021,men
6,Black Puffer Down Vest,MM6 Maison Margiela,1250,https://img.ssensemedia.com/images/231188M178000_1/mm6-maison-margiela-black-puffer-down-vest.jpg,11626161,men
7,Gray Work Wear Jacket,Les Tien,440,https://img.ssensemedia.com/images/231548M180001_1/les-tien-gray-work-wear-jacket.jpg,11978171,men
8,Gray Workwear Jacket,Les Tien,710,https://img.ssensemedia.com/images/231548M180008_1/les-tien-gray-workwear-jacket.jpg,11978661,men
9,SSENSE Exclusive Blue Inserted Denim Jacket,Bless,965,https://img.ssensemedia.com/images/222852M177001_1/bless-ssense-exclusive-blue-inserted-denim-jacket.jpg,11449891,men
10,Black Dacayori Parka,Isabel Marant,1170,https://img.ssensemedia.com/images/222600M176000_1/isabel-marant-black-dacayori-parka.jpg,10115161,men
11,Black Sharp Jacket,Jil Sander,1530,https://img.ssensemedia.com/images/222249M180006_1/jil-sander-black-sharp-jacket.jpg,10587161,men
12,SSENSE Exclusive Black Cycling Rain Jacket,Paul Smith,520,https://img.ssensemedia.com/images/222260M180008_1/paul-smith-ssense-exclusive-black-cycling-rain-jacket.jpg,9939811,men
13,Black Berlin Coat,Filippa K,1065,https://img.ssensemedia.com/images/222072M176000_1/filippa-k-black-berlin-coat.jpg,10719891,men
14,SSENSE Exclusive Black Liner Jacket,Engineered Garments,880,https://img.ssensemedia.com/images/222175M180030_1/engineered-garments-ssense-exclusive-black-liner-jacket.jpg,11004721,men
15,Navy Scott Down Vest,White:Space,800,https://img.ssensemedia.com/images/222708M178005_1/whitespace-navy-scott-down-vest.jpg,11063201,men
