,Name,Brand,Price,Image,ProductID,Gender
0,Blue Martian Jeans,Butter Goods,135,https://img.ssensemedia.com/images/231888F069005_1/butter-goods-blue-martian-jeans.jpg,12713891,women
1,Black Akerman Jeans,Studio Nicholson,570,https://img.ssensemedia.com/images/231608F069000_1/studio-nicholson-black-akerman-jeans.jpg,11996071,women
2,White Akerman Jeans,Studio Nicholson,570,https://img.ssensemedia.com/images/231608F069001_1/studio-nicholson-white-akerman-jeans.jpg,11996081,women
3,Black Avanti Jeans,Studio Nicholson,275,https://img.ssensemedia.com/images/231608F069006_1/studio-nicholson-black-avanti-jeans.jpg,12063691,women
4,Blue Lovelight Jeans,Gucci,1800,https://img.ssensemedia.com/images/222451F069005_1/gucci-blue-lovelight-jeans.jpg,11088111,women
5,Navy GG Jeans,Gucci,1520,https://img.ssensemedia.com/images/222451F069003_1/gucci-navy-gg-jeans.jpg,11088071,women
6,Blue GG Cuff Jeans,Gucci,1800,https://img.ssensemedia.com/images/231451F069002_1/gucci-blue-gg-cuff-jeans.jpg,12857881,women
7,Black Tearaway Jeans,YMC,305,https://img.ssensemedia.com/images/231161F069003_1/ymc-black-tearaway-jeans.jpg,11514071,women
8,Black Tearaway Jeans,YMC,280,https://img.ssensemedia.com/images/231161F069004_1/ymc-black-tearaway-jeans.jpg,11514081,women
9,Blue Lovy Jeans,GANNI,325,https://img.ssensemedia.com/images/231144F069014_1/ganni-blue-lovy-jeans.jpg,11704301,women
10,Indigo Upcycled Jeans,Maison Margiela,705,https://img.ssensemedia.com/images/222168F069010_1/maison-margiela-indigo-upcycled-jeans.jpg,11283461,women
11,SSENSE Exclusive Beige Harmonic Trousers,Wales Bonner,860,https://img.ssensemedia.com/images/222752F069001_1/wales-bonner-ssense-exclusive-beige-harmonic-trousers.jpg,11785001,women
12,Black Misy Jeans,GANNI,265,https://img.ssensemedia.com/images/231144F069024_1/ganni-black-misy-jeans.jpg,11704401,women
13,Blue Straight-Leg Jeans,Alexander Wang,595,https://img.ssensemedia.com/images/222187F069012_1/alexander-wang-blue-straight-leg-jeans.jpg,10857681,women
