,Name,Brand,Price,Image,ProductID,Gender
0,Black Embroidered Lounge Pants,Burberry,1050,https://img.ssensemedia.com/images/231376F086001_1/burberry-black-embroidered-lounge-pants.jpg,11732721,women
1,Black Forta Leggings,Studio Nicholson,425,https://img.ssensemedia.com/images/231608F085000_1/studio-nicholson-black-forta-leggings.jpg,11996091,women
2,Black Crystal Ball Lounge Pants,AMIRI,1130,https://img.ssensemedia.com/images/231886F086002_1/amiri-black-crystal-ball-lounge-pants.jpg,11830661,women
3,Gold Lumiere Plumage Trousers,Oséree,545,https://img.ssensemedia.com/images/231387F079000_1/osandeacuteree-gold-lumiere-plumage-trousers.jpg,12719801,women
4,Taupe Wide Cargo Pants,REMAIN Birger Christensen,355,https://img.ssensemedia.com/images/231985F087000_1/remain-birger-christensen-taupe-wide-cargo-pants.jpg,12024731,women
5,Black Grained Leather Pants,Gucci,5700,https://img.ssensemedia.com/images/231451F084001_1/gucci-black-grained-leather-pants.jpg,12858251,women
6,Pink Straight-Leg Trousers,Gucci,2170,https://img.ssensemedia.com/images/222451F087002_1/gucci-pink-straight-leg-trousers.jpg,11088871,women
7,Black Logo Leggings,Gucci,1150,https://img.ssensemedia.com/images/231451F085001_1/gucci-black-logo-leggings.jpg,12858021,women
8,Gray Prince Of Wales Trousers,Gucci,1770,https://img.ssensemedia.com/images/222451F087001_1/gucci-gray-prince-of-wales-trousers.jpg,11088861,women
9,Navy Pleated Trousers,Gucci,2550,https://img.ssensemedia.com/images/231451F087006_1/gucci-navy-pleated-trousers.jpg,12858311,women
10,Black Rolled Cuff Trousers,Gucci,2200,https://img.ssensemedia.com/images/231451F087001_1/gucci-black-rolled-cuff-trousers.jpg,12473631,women
11,Beige 4G Leggings,Givenchy,850,https://img.ssensemedia.com/images/231278F085002_1/givenchy-beige-4g-leggings.jpg,11867981,women
12,Black Washed Leather Pants,REMAIN Birger Christensen,760,https://img.ssensemedia.com/images/231985F087004_1/remain-birger-christensen-black-washed-leather-pants.jpg,12024771,women
13,Beige Straight Lounge Pants,REMAIN Birger Christensen,255,https://img.ssensemedia.com/images/231985F086001_1/remain-birger-christensen-beige-straight-lounge-pants.jpg,12024791,women
14,Green Straight Lounge Pants,REMAIN Birger Christensen,255,https://img.ssensemedia.com/images/231985F086000_1/remain-birger-christensen-green-straight-lounge-pants.jpg,12024781,women
15,Black Straight Lounge Pants,REMAIN Birger Christensen,255,https://img.ssensemedia.com/images/231985F086003_1/remain-birger-christensen-black-straight-lounge-pants.jpg,12024811,women
16,Black Crinkled Leather Pants,REMAIN Birger Christensen,835,https://img.ssensemedia.com/images/231985F084001_1/remain-birger-christensen-black-crinkled-leather-pants.jpg,12024721,women
17,Purple Dense Lounge Pants,REMAIN Birger Christensen,305,https://img.ssensemedia.com/images/231985F086002_1/remain-birger-christensen-purple-dense-lounge-pants.jpg,12024801,women
18,Purple Sequin Lounge Pants,REMAIN Birger Christensen,200,https://img.ssensemedia.com/images/231985F086005_1/remain-birger-christensen-purple-sequin-lounge-pants.jpg,12024831,women
19,Pink Straight Leather Pants,REMAIN Birger Christensen,545,https://img.ssensemedia.com/images/231985F087001_1/remain-birger-christensen-pink-straight-leather-pants.jpg,12024741,women
20,Black Fallapella Trousers,by Malene Birger,525,https://img.ssensemedia.com/images/231295F087002_1/by-malene-birger-black-fallapella-trousers.jpg,11771311,women
21,Black Cymbaria Trousers,by Malene Birger,435,https://img.ssensemedia.com/images/231295F087005_1/by-malene-birger-black-cymbaria-trousers.jpg,11790441,women
22,Yellow Fallapella Trousers,by Malene Birger,525,https://img.ssensemedia.com/images/231295F087003_1/by-malene-birger-yellow-fallapella-trousers.jpg,11771321,women
23,Brown Cymbaria Trousers,by Malene Birger,435,https://img.ssensemedia.com/images/231295F087001_1/by-malene-birger-brown-cymbaria-trousers.jpg,11771301,women
24,Black Keaton Trousers,YMC,395,https://img.ssensemedia.com/images/231161F087000_1/ymc-black-keaton-trousers.jpg,11513981,women
25,Gray Market Trousers,YMC,325,https://img.ssensemedia.com/images/231161F087002_1/ymc-gray-market-trousers.jpg,11514001,women
26,Black Classic Lounge Pants,Palm Angels,510,https://img.ssensemedia.com/images/231695F086011_1/palm-angels-black-classic-lounge-pants.jpg,11596641,women
27,Black Cady Trousers,S Max Mara,585,https://img.ssensemedia.com/images/231447F087003_1/s-max-mara-black-cady-trousers.jpg,11869211,women
28,Black Rhonda Leggings,The Attico,380,https://img.ssensemedia.com/images/231528F085002_1/the-attico-black-rhonda-leggings.jpg,11575161,women
29,Black Heart Trousers,MACH & MACH,1110,https://img.ssensemedia.com/images/231404F087006_1/mach-and-mach-black-heart-trousers.jpg,12340321,women
30,Multicolor Perrie Lounge Pants,SIEDRÉS,450,https://img.ssensemedia.com/images/231976F087004_1/siedres-multicolor-perrie-lounge-pants.jpg,12426771,women
31,Blue Embroidered Lounge Pants,GANNI,190,https://img.ssensemedia.com/images/231144F086008_1/ganni-blue-embroidered-lounge-pants.jpg,11705481,women
32,Black Embroidered Lounge Pants,GANNI,190,https://img.ssensemedia.com/images/231144F086000_1/ganni-black-embroidered-lounge-pants.jpg,11705401,women
33,Black Sebino Trousers,Max Mara,775,https://img.ssensemedia.com/images/231118F087020_1/max-mara-black-sebino-trousers.jpg,11870721,women
34,Khaki Toledo Trousers,Maryam Nassir Zadeh,621,https://img.ssensemedia.com/images/222779F087005_1/maryam-nassir-zadeh-khaki-toledo-trousers.jpg,11042091,women
35,Brown Bias Trousers,Yuzefi,410,https://img.ssensemedia.com/images/231899F087003_1/yuzefi-brown-bias-trousers.jpg,12582981,women
36,Pink Pleated Trousers,Stella McCartney,1160,https://img.ssensemedia.com/images/231471F087004_1/stella-mccartney-pink-pleated-trousers.jpg,11800701,women
37,Khaki Toggle Parachute Trousers,Dion Lee,880,https://img.ssensemedia.com/images/231417F087014_1/dion-lee-khaki-toggle-parachute-trousers.jpg,12303191,women
38,Pink Printed Trousers,Stella McCartney,1695,https://img.ssensemedia.com/images/231471F087010_1/stella-mccartney-pink-printed-trousers.jpg,12558551,women
39,Black Taslan Convertible Trousers,Brain Dead,290,https://img.ssensemedia.com/images/222266F087006_1/brain-dead-black-taslan-convertible-trousers.jpg,10843321,women
40,Black Chrome-R Lounge Pants,C.P. Company,345,https://img.ssensemedia.com/images/222357F087007_1/cp-company-black-chrome-r-lounge-pants.jpg,10823691,women
