,Name,Brand,Price,Image,ProductID,Gender
0,Black Essential Shorts,ZEGNA,360,https://img.ssensemedia.com/images/231142M193000_1/zegna-black-essential-shorts.jpg,11994271,men
1,Green Essential Shorts,ZEGNA,360,https://img.ssensemedia.com/images/231142M193001_1/zegna-green-essential-shorts.jpg,11994281,men
2,Gray Prince of Wales Shorts,Gucci,1520,https://img.ssensemedia.com/images/222451M193006_1/gucci-gray-prince-of-wales-shorts.jpg,11089981,men
3,Gray Mottled Shorts,Gucci,2050,https://img.ssensemedia.com/images/231451M193001_1/gucci-gray-mottled-shorts.jpg,12858981,men
4,Gray Artist Stripe Shorts,Paul Smith,135,https://img.ssensemedia.com/images/231260M193014_1/paul-smith-gray-artist-stripe-shorts.jpg,11730291,men
5,Black 'Le Short Brasol' Shorts,Jacquemus,585,https://img.ssensemedia.com/images/222553M193003_1/jacquemus-black-le-short-brasol-shorts.jpg,10648251,men
6,Off-White Printed Shorts,Marni,1150,https://img.ssensemedia.com/images/231379M191013_1/marni-off-white-printed-shorts.jpg,11775991,men
7,Beige Two-Pocket Shorts,Jil Sander,600,https://img.ssensemedia.com/images/222249M193006_1/jil-sander-beige-two-pocket-shorts.jpg,10590861,men
8,Black Primaloft Shorts,Moncler Grenoble,700,https://img.ssensemedia.com/images/222826M193001_1/moncler-grenoble-black-primaloft-shorts.jpg,9797071,men
9,Blue Ribbon Shorts,Adam Jones,220,https://img.ssensemedia.com/images/231696M193001_1/adam-jones-blue-ribbon-shorts.jpg,13294101,men
10,Pink Yama Shorts,CASEY CASEY,895,https://img.ssensemedia.com/images/231007M193000_1/casey-casey-pink-yama-shorts.jpg,11815541,men
11,SSENSE Exclusive Khaki Jog Ah Shorts,CASEY CASEY,945,https://img.ssensemedia.com/images/231007M190000_1/casey-casey-ssense-exclusive-khaki-jog-ah-shorts.jpg,12365691,men
12,Blue Embroidered Shorts,Rhude,750,https://img.ssensemedia.com/images/231923M193004_1/rhude-blue-embroidered-shorts.jpg,11599801,men
13,Black Clyde Shorts,RtA,295,https://img.ssensemedia.com/images/231702M213001_1/rta-black-clyde-shorts.jpg,12084301,men
14,Black Run Shorts,CMF Outdoor Garment,325,https://img.ssensemedia.com/images/222827M193007_1/cmf-comfy-outdoor-garment-black-run-shorts.jpg,11408211,men
15,Black Sewalk Shorts,BOSS,130,https://img.ssensemedia.com/images/222085M193010_1/boss-hugo-boss-black-sewalk-shorts.jpg,9836881,men
16,Black & Gray Converged Shorts,HELIOT EMIL,205,https://img.ssensemedia.com/images/231295M193002_1/heliot-emil-black-and-gray-converged-shorts.jpg,11688751,men
17,Beige Patch Shorts,Jil Sander,601,https://img.ssensemedia.com/images/222249M193013_1/jil-sander-beige-patch-shorts.jpg,10593871,men
18,Gray Archetype Shorts,Givenchy,895,https://img.ssensemedia.com/images/231278M193006_1/givenchy-gray-archetype-shorts.jpg,11876821,men
19,Black Vortex Shorts,HELIOT EMIL,265,https://img.ssensemedia.com/images/231295M193001_1/heliot-emil-black-vortex-shorts.jpg,11688741,men
20,Black Limited Edition Track Shorts,HELIOT EMIL,275,https://img.ssensemedia.com/images/231295M193003_1/heliot-emil-black-limited-edition-track-shorts.jpg,11688761,men
21,Gray Liquid Metal Shorts,HELIOT EMIL,550,https://img.ssensemedia.com/images/231295M193007_1/heliot-emil-gray-liquid-metal-shorts.jpg,11688801,men
22,Black Frill Shorts,Adam Jones,245,https://img.ssensemedia.com/images/231696M193000_1/adam-jones-black-frill-shorts.jpg,13294071,men
23,Green Cotton Shorts,Adam Jones,135,https://img.ssensemedia.com/images/231696M193002_1/adam-jones-green-cotton-shorts.jpg,13294131,men
