,Name,Brand,Price,Image,ProductID,Gender
0,Black Filkin Shorts,Studio Nicholson,395,https://img.ssensemedia.com/images/231608F088002_1/studio-nicholson-black-filkin-shorts.jpg,12031391,women
1,Beige Jumbo GG Shorts,Gucci,1700,https://img.ssensemedia.com/images/222451F088010_1/gucci-beige-jumbo-gg-shorts.jpg,11088571,women
2,Pink California GG Shorts,Gucci,1800,https://img.ssensemedia.com/images/222451F088007_1/gucci-pink-california-gg-shorts.jpg,11088051,women
3,Blue GG Denim Shorts,Gucci,1300,https://img.ssensemedia.com/images/222451F088008_1/gucci-blue-gg-denim-shorts.jpg,11088081,women
4,Brown Frankie Shorts,Miaou,155,https://img.ssensemedia.com/images/231224F088000_1/miaou-brown-frankie-shorts.jpg,12579591,women
5,Pink & Off-White Mussel Flower Hot Shorts,AREA,970,https://img.ssensemedia.com/images/231372F088002_1/area-pink-and-off-white-mussel-flower-hot-shorts.jpg,11856971,women
6,SSENSE Exclusive Beige Mail Shorts,Wales Bonner,530,https://img.ssensemedia.com/images/222752F088000_1/wales-bonner-ssense-exclusive-beige-mail-shorts.jpg,11785011,women
7,Gray Drawstring Shorts,GANNI,130,https://img.ssensemedia.com/images/231144F088004_1/ganni-gray-drawstring-shorts.jpg,11705521,women
8,White Plaque Denim Shorts,Balmain,810,https://img.ssensemedia.com/images/231251F088014_1/balmain-white-plaque-denim-shorts.jpg,11927311,women
9,Black Embroidered Shorts,Givenchy,635,https://img.ssensemedia.com/images/231278F088000_1/givenchy-black-embroidered-shorts.jpg,11866671,women
10,Black Monogram Shorts,Balmain,865,https://img.ssensemedia.com/images/231251F088015_1/balmain-black-monogram-shorts.jpg,11927321,women
11,Black Hook-Eye Shorts,Yuzefi,390,https://img.ssensemedia.com/images/231899F088001_1/yuzefi-black-hook-eye-shorts.jpg,12583211,women
12,Multicolor Booty Shorts,Miaou,145,https://img.ssensemedia.com/images/231224F088001_1/miaou-multicolor-booty-shorts.jpg,12580471,women
13,Pink Frankie Shorts,Miaou,135,https://img.ssensemedia.com/images/231224F088002_1/miaou-pink-frankie-shorts.jpg,12580481,women
14,Multicolor Afra Shorts,SIEDRÉS,200,https://img.ssensemedia.com/images/231976F088000_1/siedres-multicolor-afra-shorts.jpg,12426691,women
15,Blue Slouch Shorts,Silk Laundry,365,https://img.ssensemedia.com/images/231223F088000_1/silk-laundry-blue-slouch-shorts.jpg,12899751,women
16,Black Shredded Slouch Shorts,R13,510,https://img.ssensemedia.com/images/231021F088000_1/r13-black-shredded-slouch-shorts.jpg,12570891,women
17,Blue Ole Shorts,Baserange,178,https://img.ssensemedia.com/images/222922F088003_1/baserange-blue-ole-shorts.jpg,11202681,women
18,Black Kali Daze Denim Shorts,Ksubi,245,https://img.ssensemedia.com/images/231088F088003_1/ksubi-black-kali-daze-denim-shorts.jpg,11530751,women
19,Pink 'Rise N Hi' Denim Shorts,Ksubi,240,https://img.ssensemedia.com/images/231088F088004_1/ksubi-pink-rise-n-hi-denim-shorts.jpg,11530761,women
20,Black Julie Shorts,Kika Vargas,520,https://img.ssensemedia.com/images/231593F088001_1/kika-vargas-black-julie-shorts.jpg,12555591,women
21,Black 3B Sports Icon Shorts,Balenciaga,750,https://img.ssensemedia.com/images/222342F088000_1/balenciaga-black-3b-sports-icon-shorts.jpg,9862151,women
22,Blue Crinkle Denim Shorts,Stella McCartney,795,https://img.ssensemedia.com/images/231471F088000_1/stella-mccartney-blue-crinkle-denim-shorts.jpg,11800601,women
23,White 'Sheep Can Never Sleep' Shorts,Stella McCartney,840,https://img.ssensemedia.com/images/231471F088001_1/stella-mccartney-white-sheep-can-never-sleep-shorts.jpg,12558521,women
24,Blue Shorty High-Rise Denim Shorts,Alexander Wang,395,https://img.ssensemedia.com/images/231187F069005_1/alexander-wang-blue-shorty-high-rise-denim-shorts.jpg,11851641,women
25,Black Pleated Shorts,Alexander Wang,710,https://img.ssensemedia.com/images/231187F088007_1/alexander-wang-black-pleated-shorts.jpg,11847991,women
26,White Pleated Shorts,Alexander Wang,710,https://img.ssensemedia.com/images/231187F088008_1/alexander-wang-white-pleated-shorts.jpg,11848001,women
27,Blue Low-Rise Bikini Layer Denim Shorts,Alexander Wang,550,https://img.ssensemedia.com/images/231187F088010_1/alexander-wang-blue-low-rise-bikini-layer-denim-shorts.jpg,11851661,women
28,Blue Paisley Shorts,alexanderwang.t,395,https://img.ssensemedia.com/images/231214F088000_1/alexanderwangt-blue-paisley-shorts.jpg,11852751,women
29,Taupe Brooklyn Shorts,COTTON CITIZEN,225,https://img.ssensemedia.com/images/231750F088001_1/cotton-citizen-taupe-brooklyn-shorts.jpg,12778841,women
30,Brown Brooklyn Shorts,COTTON CITIZEN,225,https://img.ssensemedia.com/images/231750F088002_1/cotton-citizen-brown-brooklyn-shorts.jpg,12778851,women
31,Beige Brooklyn Shorts,COTTON CITIZEN,225,https://img.ssensemedia.com/images/231750F088003_1/cotton-citizen-beige-brooklyn-shorts.jpg,12778861,women
32,White Brooklyn Shorts,COTTON CITIZEN,225,https://img.ssensemedia.com/images/231750F088004_1/cotton-citizen-white-brooklyn-shorts.jpg,12778871,women
33,Taupe Cashmere Shorts,Frenckenberger,555,https://img.ssensemedia.com/images/231283F088006_1/frenckenberger-taupe-cashmere-shorts.jpg,12333451,women
34,Brown Amato Shorts,Max Mara,570,https://img.ssensemedia.com/images/231118F088000_1/max-mara-brown-amato-shorts.jpg,11870841,women
35,Black Monogram Shorts,Totême,505,https://img.ssensemedia.com/images/231771F088000_1/totme-black-monogram-shorts.jpg,11560031,women
36,Brown Cracked Leather Shorts,Guess Jeans U.S.A.,449,https://img.ssensemedia.com/images/222603F088000_1/guess-usa-brown-cracked-leather-shorts.jpg,10308881,women
37,Black Distressed Denim Shorts,Maison Margiela,482,https://img.ssensemedia.com/images/222168F088001_1/maison-margiela-black-distressed-denim-shorts.jpg,11282791,women
38,Black Amato Shorts,Max Mara,570,https://img.ssensemedia.com/images/231118F088001_1/max-mara-black-amato-shorts.jpg,11870851,women
39,Blue Boxer Shorts,TOM FORD,260,https://img.ssensemedia.com/images/231076F088011_1/tom-ford-blue-boxer-shorts.jpg,12047031,women
40,Black Quilted Hearts Shorts,Anna Sui,385,https://img.ssensemedia.com/images/231894F088002_1/anna-sui-black-quilted-hearts-shorts.jpg,11973451,women
41,Black Boxers Shorts,Frenckenberger,555,https://img.ssensemedia.com/images/231283F088005_1/frenckenberger-black-boxers-shorts.jpg,12333441,women
42,Blue Rise N Hi Haven Denim Shorts,Ksubi,240,https://img.ssensemedia.com/images/231088F088007_1/ksubi-blue-rise-n-hi-haven-denim-shorts.jpg,11530791,women
43,White Boxer Shorts,TOM FORD,260,https://img.ssensemedia.com/images/231076F088006_1/tom-ford-white-boxer-shorts.jpg,12046981,women
44,Pink Boxer Shorts,TOM FORD,260,https://img.ssensemedia.com/images/231076F088007_1/tom-ford-pink-boxer-shorts.jpg,12046991,women
45,Pink Concealed Zip Shorts,Valentino,1425,https://img.ssensemedia.com/images/222476F088005_1/valentino-pink-concealed-zip-shorts.jpg,11213921,women
46,Beige Boxer Shorts,Alexander Wang,820,https://img.ssensemedia.com/images/231187F088003_1/alexander-wang-beige-boxer-shorts.jpg,11844871,women
47,Black Boxer Shorts,Alexander Wang,855,https://img.ssensemedia.com/images/231187F088006_1/alexander-wang-black-boxer-shorts.jpg,11847981,women
48,Gray Bite Denim Shorts,Alexander Wang,300,https://img.ssensemedia.com/images/231187F088013_1/alexander-wang-gray-bite-denim-shorts.jpg,11851771,women
49,Off-White Monogram Shorts,Totême,505,https://img.ssensemedia.com/images/231771F088001_1/totme-off-white-monogram-shorts.jpg,11560041,women
50,Blue Rise N High Shorts,Ksubi,275,https://img.ssensemedia.com/images/231088F088006_1/ksubi-blue-rise-n-high-shorts.jpg,11530781,women
51,SSENSE Exclusive Black Shorts,Fax Copy Express,350,https://img.ssensemedia.com/images/222866F088002_1/faxcopyexpress-ssense-exclusive-black-shorts.jpg,11498901,women
52,Beige Jewel Shorts,La Perla,416,https://img.ssensemedia.com/images/222390F088000_1/la-perla-beige-jewel-shorts.jpg,9688901,women
53,Black Teddy Shorts,Moschino,204,https://img.ssensemedia.com/images/222720F088002_1/moschino-black-teddy-shorts.jpg,11030891,women
54,Black Mugler Edition Shaping Shorts,Wolford,485,https://img.ssensemedia.com/images/231017F088000_1/wolford-black-mugler-edition-shaping-shorts.jpg,11858821,women
55,Black Basic Shorts,We11done,347,https://img.ssensemedia.com/images/222327F088000_1/we11done-black-basic-shorts.jpg,11494281,women
56,Blue Liam Shorts,ANINE BING,155,https://img.ssensemedia.com/images/231092F072000_1/anine-bing-blue-liam-shorts.jpg,11784851,women
57,Green 'Country Club' Shorts,Sporty & Rich,98,https://img.ssensemedia.com/images/222446F088021_1/sporty-and-rich-green-country-club-shorts.jpg,10385921,women
58,Blue Corporate Denim Shorts,Off-White,655,https://img.ssensemedia.com/images/231607F088002_1/off-white-blue-corporate-denim-shorts.jpg,11620401,women
59,Gray Corporate Denim Shorts,Off-White,620,https://img.ssensemedia.com/images/231607F088003_1/off-white-gray-corporate-denim-shorts.jpg,11620411,women
60,SSENSE Exclusive Purple & Pink Shorts,ANDREJ GRONAU,293,https://img.ssensemedia.com/images/222112F088000_1/andrej-gronau-ssense-exclusive-purple-and-pink-shorts.jpg,11187631,women
61,Navy Imona Shorts,Cecilie Bahnsen,700,https://img.ssensemedia.com/images/231002F088000_1/cecilie-bahnsen-navy-imona-shorts.jpg,11111051,women
62,Blue Helon Denim Shorts,KIMHĒKIM,275,https://img.ssensemedia.com/images/222609F088000_1/kimhekim-blue-helon-denim-shorts.jpg,11306031,women
63,Black Comfort Denim Shorts,TOM FORD,900,https://img.ssensemedia.com/images/231076F088000_1/tom-ford-black-comfort-denim-shorts.jpg,12045851,women
64,Navy Serif Shorts,Sporty & Rich,101,https://img.ssensemedia.com/images/222446F110021_1/sporty-and-rich-navy-serif-shorts.jpg,10385451,women
