,Name,Brand,Price,Image,ProductID,Gender
0,Blue Evade T-Shirt,MAAP,85,https://img.ssensemedia.com/images/231335M213013_1/maap-blue-evade-t-shirt.jpg,12832481,men
1,Black JCH Edition Pull T-Shirt,BRILLIBRILLIANT/UNICORN,95,https://img.ssensemedia.com/images/231087M213003_1/brillibrilliant-unicorn-black-jch-edition-pull-t-shirt.jpg,13141921,men
2,Black JCH Edition Streetpan Aero T-Shirt,BRILLIBRILLIANT/UNICORN,275,https://img.ssensemedia.com/images/231087M213000_1/brillibrilliant-unicorn-black-jch-edition-streetpan-aero-t-shirt.jpg,13141881,men
3,Gray JCH Edition Streetpan Aero T-Shirt,BRILLIBRILLIANT/UNICORN,275,https://img.ssensemedia.com/images/231087M213001_1/brillibrilliant-unicorn-gray-jch-edition-streetpan-aero-t-shirt.jpg,13141891,men
4,Gray Studded T-Shirt,Gucci,1250,https://img.ssensemedia.com/images/231451M213003_1/gucci-gray-studded-t-shirt.jpg,12859121,men
5,Red & White Jester T-Shirt,Gucci,1100,https://img.ssensemedia.com/images/231451M213004_1/gucci-red-and-white-jester-t-shirt.jpg,12859131,men
6,Off-White Lovelight T-Shirt,Gucci,1520,https://img.ssensemedia.com/images/222451M213012_1/gucci-off-white-lovelight-t-shirt.jpg,11090601,men
7,Navy Printed T-Shirt,Gucci,775,https://img.ssensemedia.com/images/222451M213009_1/gucci-navy-printed-t-shirt.jpg,11090571,men
8,White Printed T-Shirt,Gucci,775,https://img.ssensemedia.com/images/222451M213010_1/gucci-white-printed-t-shirt.jpg,11090581,men
9,White Printed T-Shirt,Gucci,775,https://img.ssensemedia.com/images/222451M213003_1/gucci-white-printed-t-shirt.jpg,11090511,men
10,White 'Love Parade' T-Shirt,Gucci,775,https://img.ssensemedia.com/images/222451M213011_1/gucci-white-love-parade-t-shirt.jpg,11090591,men
11,Red Patch Polo,Gucci,1290,https://img.ssensemedia.com/images/222451M212007_1/gucci-red-patch-polo.jpg,11090391,men
12,Pink Printed T-Shirt,Gucci,905,https://img.ssensemedia.com/images/222451M213006_1/gucci-pink-printed-t-shirt.jpg,11090541,men
13,Blue Printed T-Shirt,Gucci,905,https://img.ssensemedia.com/images/222451M213005_1/gucci-blue-printed-t-shirt.jpg,11090531,men
14,Black 'Love Parade' T-Shirt,Gucci,775,https://img.ssensemedia.com/images/222451M213004_1/gucci-black-love-parade-t-shirt.jpg,11090521,men
15,Green GG Polo,Gucci,1550,https://img.ssensemedia.com/images/222451M212002_1/gucci-green-gg-polo.jpg,11089421,men
16,White Interlocking G T-Shirt,Gucci,750,https://img.ssensemedia.com/images/231451M213002_1/gucci-white-interlocking-g-t-shirt.jpg,12859111,men
17,White Printed T-Shirt,Marni,695,https://img.ssensemedia.com/images/231379M213015_1/marni-white-printed-t-shirt.jpg,11775351,men
