,Name,Brand,Price,Image,ProductID,Gender
0,Green Tablecloth Shirt,Bode,915,https://img.ssensemedia.com/images/231169F109026_1/bode-green-tablecloth-shirt.jpg,11212091,women
1,Black Verse Polo,Wales Bonner,545,https://img.ssensemedia.com/images/231752F108000_1/wales-bonner-black-verse-polo.jpg,11670791,women
2,Off-White 'The Harp' T-Shirt,Wales Bonner,545,https://img.ssensemedia.com/images/231752F110000_1/wales-bonner-off-white-the-harp-t-shirt.jpg,11670831,women
3,Brown Exaggerated Check Shirt,Burberry,1150,https://img.ssensemedia.com/images/231376F109007_1/burberry-brown-exaggerated-check-shirt.jpg,11743091,women
4,Black Prorsum Label T-Shirt,Burberry,700,https://img.ssensemedia.com/images/231376F110009_1/burberry-black-prorsum-label-t-shirt.jpg,11743231,women
5,Beige Curved Tank Top,Totême,125,https://img.ssensemedia.com/images/231771F111000_1/totme-beige-curved-tank-top.jpg,11559811,women
6,Black Washed Shirt,Totême,575,https://img.ssensemedia.com/images/231771F109005_1/totme-black-washed-shirt.jpg,11559761,women
7,White Loop Long Sleeve T-Shirt,Studio Nicholson,180,https://img.ssensemedia.com/images/231608F110010_1/studio-nicholson-white-loop-long-sleeve-t-shirt.jpg,11997061,women
8,Black Lee T-Shirt,Studio Nicholson,130,https://img.ssensemedia.com/images/231608F110007_1/studio-nicholson-black-lee-t-shirt.jpg,11997031,women
9,White Lee T-Shirt,Studio Nicholson,130,https://img.ssensemedia.com/images/231608F110008_1/studio-nicholson-white-lee-t-shirt.jpg,11997041,women
10,Black Loop Long Sleeve T-Shirt,Studio Nicholson,180,https://img.ssensemedia.com/images/231608F110009_1/studio-nicholson-black-loop-long-sleeve-t-shirt.jpg,11997051,women
11,Pink Core T-Shirt,AMIRI,445,https://img.ssensemedia.com/images/231886F110006_1/amiri-pink-core-t-shirt.jpg,11830531,women
12,Purple Core T-Shirt,AMIRI,445,https://img.ssensemedia.com/images/231886F110007_1/amiri-purple-core-t-shirt.jpg,11830541,women
13,Blue Core T-Shirt,AMIRI,445,https://img.ssensemedia.com/images/231886F110010_1/amiri-blue-core-t-shirt.jpg,11830851,women
14,Off-White Core T-Shirt,AMIRI,445,https://img.ssensemedia.com/images/231886F110009_1/amiri-off-white-core-t-shirt.jpg,11830841,women
15,Black Core T-Shirt,AMIRI,445,https://img.ssensemedia.com/images/231886F110005_1/amiri-black-core-t-shirt.jpg,11830521,women
16,Brown Lumiere Plumage Tank Top,Oséree,390,https://img.ssensemedia.com/images/231387F111002_1/osandeacuteree-brown-lumiere-plumage-tank-top.jpg,12732911,women
